City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,crane,31.3974,-102.3501,25.02,35,0,4.47,US,1696549550
269,zhangye,38.9342,100.4517,11.38,71,56,1.05,CN,1696549551
270,princeville,45.7668,-61.2985,16.9,92,0,1.54,CA,1696549551
271,dongola,19.1667,30.4833,31.26,22,10,8.96,SD,1696549552
272,newman,37.3138,-121.0208,34.19,34,0,2.68,US,1696549552
273,miyaly,48.8844,53.7836,15.23,70,100,6.43,KZ,1696549553
274,fort morgan,40.2503,-103.8,18.68,36,80,5.14,US,1696549553
275,enshi,30.3,109.4833,15.39,99,100,0.5,CN,1696549553
276,nelson bay,-32.7167,152.15,19.49,48,0,1.79,AU,1696549554
277,fort bragg,35.139,-79.006,25.46,71,100,3.09,US,1696549554
278,gaalkacyo,6.7697,47.4308,27.39,66,99,5.35,SO,1696549555
279,tamanrasset,22.785,5.5228,19.95,40,0,3.09,DZ,1696549555
280,puerto baquerizo moreno,-0.9,-89.6,22.74,81,24,3.94,EC,1696549556
281,pointe-noire,-4.7761,11.8635,24.33,94,59,2.52,CG,1696549556
282,misratah,32.3754,15.0925,23.64,69,3,1.59,LY,1696549557
283,hadibu,12.65,54.0333,27.01,75,84,3.97,YE,1696549557
284,richards bay,-28.783,32.0377,21.4,87,3,4.83,ZA,1696549557
285,ambodifotatra,-16.9833,49.85,23.6,81,88,7.03,MG,1696549558
286,island harbour,50.724,-1.2758,15.52,88,100,0.89,GB,1696549558
287,gainesville,29.6516,-82.3248,27.27,71,20,3.6,US,1696548969
288,hermanus,-34.4187,19.2345,15.04,90,100,5.1,ZA,1696549560
289,obligado,-27.0333,-55.6333,16.35,73,1,1.68,PY,1696549560
290,huntsville,34.7304,-86.5861,24.75,68,100,1.54,US,1696549393
291,magistral'nyy,56.1725,107.4458,5.21,93,100,2.07,RU,1696549561
292,lorengau,-2.0226,147.2712,28.81,74,91,2.72,PG,1696549562
293,saint-philippe,-21.3585,55.7679,18.77,86,66,2.12,RE,1696549562
294,jiuquan,39.7432,98.5174,10.79,54,36,0.32,CN,1696549563
295,eirunepe,-6.6603,-69.8736,27.24,71,89,1.46,BR,1696549564
296,the pas,53.8251,-101.2541,9.01,76,100,6.17,CA,1696549514
297,kruisfontein,-34.0033,24.7314,17.16,94,100,6.08,ZA,1696549565
298,achit,56.7985,57.8994,10.83,90,100,1.9,RU,1696549565
299,choix,26.7092,-108.3219,33.28,36,58,1.53,MX,1696549281
300,uturoa,-16.7333,-151.4333,26.02,79,35,9.72,PF,1696549566
301,banes,20.9625,-75.7186,25.32,89,19,1.32,CU,1696549567
302,aleg,17.0481,-13.9209,34.23,39,97,5.31,MR,1696549567
303,pemangkat,1.1667,108.9667,28.3,76,98,2.6,ID,1696549568
304,silvan,38.1419,41.0081,8.16,40,50,0.68,TR,1696549568
305,vadso,70.0744,29.7487,2.09,93,100,7.72,NO,1696549569
306,zhongshu,24.5167,103.7667,17.64,93,75,1.42,CN,1696549570
307,gadani,25.1185,66.7299,27.12,86,8,5.43,PK,1696549570
308,mezhdurechensk,53.6942,88.0603,3.49,92,80,1.08,RU,1696549570
309,port lincoln,-34.7333,135.8667,13.54,73,100,4.61,AU,1696549571
310,tevriz,57.509,72.4042,8.67,85,79,2.23,RU,1696549571
311,gadzhiyevo,69.2551,33.3362,3.68,79,48,12.26,RU,1696549572
312,hailar,49.2,119.7,7.1,51,4,1.97,CN,1696549572
313,al jawf,29.5,38.75,25.19,38,11,8.43,SA,1696549573
314,boca suno,-0.7167,-77.1333,26.08,73,100,1.57,EC,1696549573
315,waingapu,-9.6567,120.2641,26.3,83,9,3.99,ID,1696549574
316,dickinson,29.4608,-95.0513,25.09,84,100,5.66,US,1696549575
317,tari,12.4086,4.4914,28.44,55,76,3.02,NG,1696549575
318,aripuana,-9.1667,-60.6333,31.27,35,59,1.11,BR,1696549295
319,alice springs,-23.7,133.8833,18.75,24,1,7.2,AU,1696549528
320,nadym,65.5333,72.5167,6.27,73,96,11.78,RU,1696549577
321,al muwayh,22.4333,41.7583,25.2,20,0,5.34,SA,1696549577
322,constantia,44.1833,28.65,14.38,84,34,3.55,RO,1696549361
323,sena madureira,-9.0656,-68.6569,27.11,67,82,1.05,BR,1696549579
324,rodolfo sanchez taboada,31.7167,-116.5667,23.39,75,6,0.45,MX,1696549579
325,floro,61.5996,5.0328,10.98,71,100,5.14,NO,1696549579
326,barlinek,52.9946,15.2186,9.21,86,69,2.94,PL,1696549580
327,deschutes river woods,43.9915,-121.3584,26.0,34,0,4.12,US,1696549580
328,mhamid,29.82,-5.72,24.46,20,100,3.57,MA,1696549581
329,new norfolk,-42.7826,147.0587,12.62,55,63,3.29,AU,1696549582
330,theniet el had,35.8711,2.0281,19.53,47,0,1.32,DZ,1696549583
331,gambela,8.25,34.5833,22.2,82,34,1.43,ET,1696549584
332,thief river falls,48.1191,-96.1812,8.96,87,100,4.63,US,1696549585
333,trinidad,-14.8333,-64.9,30.99,58,40,2.06,BO,1696549585
334,kingston,17.997,-76.7936,30.53,79,20,2.06,JM,1696549167
335,fale old settlement,-9.3852,-171.2468,28.42,71,10,2.55,TK,1696549588
336,villanueva,15.3167,-88.0,31.55,70,20,5.66,HN,1696549589
337,remire-montjoly,4.9167,-52.2667,28.02,78,0,2.06,GF,1696549590
338,sitka,57.0531,-135.33,14.94,82,100,4.63,US,1696549590
339,hilongos,10.3744,124.7497,29.47,76,61,1.78,PH,1696549591
340,neiafu,-18.65,-173.9833,23.38,56,40,4.63,TO,1696549592
341,birao,10.2849,22.7882,24.04,75,50,1.04,CF,1696549593
342,shahrud,36.4182,54.9763,10.58,77,7,3.11,IR,1696549593
343,callao,-12.0667,-77.15,23.18,77,40,4.63,PE,1696549594
344,kapiri mposhi,-13.9652,28.6809,20.05,45,35,3.18,ZM,1696549595
345,muli,2.9167,73.5667,27.31,76,100,2.47,MV,1696549595
346,ceerigaabo,10.6162,47.368,19.39,68,92,1.07,SO,1696549596
347,srandakan,-7.9386,110.2506,26.32,79,68,1.44,ID,1696549596
348,pisco,-13.7,-76.2167,21.03,73,0,5.66,PE,1696549597
349,amga,60.8953,131.9608,-0.59,71,49,2.07,RU,1696549597
350,san antonio de pale,-1.4014,5.6325,25.33,85,100,5.93,GQ,1696549598
351,axim,4.8699,-2.2405,25.02,91,100,1.66,GH,1696549598
352,puerto lempira,15.2667,-83.7667,28.14,80,5,3.85,HN,1696549599
353,gizo,-8.103,156.8419,27.77,79,21,7.16,SB,1696549599
354,aosta,45.7667,7.4167,10.55,36,70,1.35,IT,1696549600
355,kushiro,42.975,144.3747,15.53,67,75,2.57,JP,1696549601
356,tsiombe,-25.3,45.4833,20.63,65,0,0.87,MG,1696549602
357,chernyshevskiy,63.0128,112.4714,-2.18,95,100,2.41,RU,1696549602
358,usinsk,65.9939,57.5281,5.6,79,51,6.26,RU,1696549603
359,terme,41.2092,36.9739,12.96,87,22,1.87,TR,1696549603
360,kassala,15.451,36.4,29.95,34,0,3.52,SD,1696549604
361,boksitogorsk,59.474,33.8485,9.71,94,100,3.31,RU,1696549604
362,grove,51.6095,-1.4219,14.05,89,0,2.06,GB,1696549551
